"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1.2","Valor da produção","Farias Brito",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Forquilha",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Fortaleza",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Fortim",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Frecheirinha",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","General Sampaio",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Graça",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Granja",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Granjeiro",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Groaíras",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Guaiúba",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Guaraciaba do Norte",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Guaramiranga",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Hidrolândia",,,,,,,,,,"-","-","-","...","-","R$",1000
"1.1.2","Valor da produção","Horizonte",,,,,,,,,,"140","137","54","...","...","R$",1000
"1.1.2","Valor da produção","Ibaretama",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Ibiapina",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Ibicuitinga",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Icapuí",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Icó",,,,,,,,,,"277","275","180","115.200","0.000","R$",1000
"1.1.2","Valor da produção","Iguatu",,,,,,,,,,"-","-","-","...","-","R$",1000
"1.1.2","Valor da produção","Independência",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Ipaporanga",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Ipaumirim",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Ipu",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Ipueiras",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Iracema",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Irauçuba",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Itaiçaba",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Itaitinga",,,,,,,,,,"-","-","-","500.000","772.800","R$",1000
"1.1.2","Valor da produção","Itapajé",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Itapipoca",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Itapiúna",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Itarema",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Itatira",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Jaguaretama",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Jaguaribara",,,,,,,,,,"-","-","424","473.570","252.600","R$",1000
"1.1.2","Valor da produção","Jaguaribe",,,,,,,,,,"30","10","-","-","-","R$",1000
