"Nome","Localidade","2008","2009","2010","2011","2012","2013","2014","Unidade","Multiplicador"
"Taxa de mortalidade infantil","Sobral","13.87","18.93","13.62","18.16","14.85","16.82","13.25","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Solonópole","14.93","14.78","9.26","14.56","23.53","10.26","17.44","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Tabuleiro do Norte","24.45","14.93","14.12","18.91","2.6","19.28","19.8","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Tamboril","13.16","18.82","7.85","6.06","18.52","22.73","23.73","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Tarrafas","66.67","9.52","24.19","0","0","30.3","33.71","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Tauá","13.84","10.34","11.15","10.55","11.17","8.22","12.15","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Tejuçuoca","24.49","10.91","3.76","15.15","18.38","15.04","12.71","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Tianguá","19","18.98","15.01","19.58","11.36","16.43","11.3","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Trairi","11.6","14.15","20.35","14.14","20.44","11.71","15.6","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Tururu","8.62","12.61","12.05","7.58","19.38","0","11.11","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ubajara","12.24","15.82","16.19","9.54","18.35","3.62","18.15","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Umari","33.9","10.42","28.85","25.64","50","41.24","11.63","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Umirim","17.73","20.55","7.55","6.49","10.53","16.29","12.9","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Uruburetama","8.17","8.52","16.81","4.87","8.98","14.79","16.85","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Uruoca","10.15","9.8","16.76","15","5.68","0","5.81","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Varjota","13.27","15.87","18.59","10.75","21.66","20.98","12.35","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Várzea Alegre","26.36","10.81","9.47","7.69","4.07","17.58","11.03","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Viçosa do Ceará","19.63","23.53","16.11","8.12","12.89","11.9","9.76","óbitos por mil nascidos vivos",1
