"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"5.1.1.1","Automóvel para uso particular","Barro","816","domicílios",1
"5.1.1.1","Automóvel para uso particular","Barroquinha","300","domicílios",1
"5.1.1.1","Automóvel para uso particular","Baturité","1149","domicílios",1
"5.1.1.1","Automóvel para uso particular","Beberibe","2268","domicílios",1
"5.1.1.1","Automóvel para uso particular","Bela Cruz","827","domicílios",1
"5.1.1.1","Automóvel para uso particular","Boa Viagem","1313","domicílios",1
"5.1.1.1","Automóvel para uso particular","Brejo Santo","1765","domicílios",1
"5.1.1.1","Automóvel para uso particular","Camocim","1668","domicílios",1
"5.1.1.1","Automóvel para uso particular","Campos Sales","838","domicílios",1
"5.1.1.1","Automóvel para uso particular","Canindé","2066","domicílios",1
"5.1.1.1","Automóvel para uso particular","Capistrano","376","domicílios",1
"5.1.1.1","Automóvel para uso particular","Caridade","448","domicílios",1
"5.1.1.1","Automóvel para uso particular","Cariré","384","domicílios",1
"5.1.1.1","Automóvel para uso particular","Caririaçu","682","domicílios",1
"5.1.1.1","Automóvel para uso particular","Cariús","393","domicílios",1
"5.1.1.1","Automóvel para uso particular","Carnaubal","466","domicílios",1
"5.1.1.1","Automóvel para uso particular","Cascavel","3201","domicílios",1
"5.1.1.1","Automóvel para uso particular","Catarina","369","domicílios",1
"5.1.1.1","Automóvel para uso particular","Catunda","236","domicílios",1
"5.1.1.1","Automóvel para uso particular","Caucaia","16615","domicílios",1
"5.1.1.1","Automóvel para uso particular","Cedro","825","domicílios",1
"5.1.1.1","Automóvel para uso particular","Chaval","204","domicílios",1
"5.1.1.1","Automóvel para uso particular","Choró","162","domicílios",1
"5.1.1.1","Automóvel para uso particular","Chorozinho","754","domicílios",1
"5.1.1.1","Automóvel para uso particular","Coreaú","454","domicílios",1
"5.1.1.1","Automóvel para uso particular","Crateús","3071","domicílios",1
"5.1.1.1","Automóvel para uso particular","Crato","6972","domicílios",1
"5.1.1.1","Automóvel para uso particular","Croatá","452","domicílios",1
"5.1.1.1","Automóvel para uso particular","Cruz","945","domicílios",1
"5.1.1.1","Automóvel para uso particular","Deputado Irapuan Pinheiro","199","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ererê","153","domicílios",1
"5.1.1.1","Automóvel para uso particular","Eusébio","3178","domicílios",1
"5.1.1.1","Automóvel para uso particular","Farias Brito","381","domicílios",1
"5.1.1.1","Automóvel para uso particular","Forquilha","647","domicílios",1
"5.1.1.1","Automóvel para uso particular","Fortaleza","237290","domicílios",1
"5.1.1.1","Automóvel para uso particular","Fortim","614","domicílios",1
"5.1.1.1","Automóvel para uso particular","Frecheirinha","315","domicílios",1
"5.1.1.1","Automóvel para uso particular","General Sampaio","119","domicílios",1
"5.1.1.1","Automóvel para uso particular","Graça","217","domicílios",1
"5.1.1.1","Automóvel para uso particular","Granja","901","domicílios",1
"5.1.1.1","Automóvel para uso particular","Granjeiro","88","domicílios",1
"5.1.1.1","Automóvel para uso particular","Groaíras","263","domicílios",1
"5.1.1.1","Automóvel para uso particular","Guaiúba","521","domicílios",1
"5.1.1.1","Automóvel para uso particular","Guaraciaba do Norte","1280","domicílios",1
"5.1.1.1","Automóvel para uso particular","Guaramiranga","142","domicílios",1
"5.1.1.1","Automóvel para uso particular","Hidrolândia","497","domicílios",1
"5.1.1.1","Automóvel para uso particular","Horizonte","2097","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ibaretama","329","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ibiapina","762","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ibicuitinga","315","domicílios",1
"5.1.1.1","Automóvel para uso particular","Icapuí","643","domicílios",1
"5.1.1.1","Automóvel para uso particular","Icó","2069","domicílios",1
"5.1.1.1","Automóvel para uso particular","Iguatu","4785","domicílios",1
"5.1.1.1","Automóvel para uso particular","Independência","900","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ipaporanga","243","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ipaumirim","471","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ipu","1326","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ipueiras","1076","domicílios",1
"5.1.1.1","Automóvel para uso particular","Iracema","500","domicílios",1
"5.1.1.1","Automóvel para uso particular","Irauçuba","481","domicílios",1
"5.1.1.1","Automóvel para uso particular","Itaiçaba","264","domicílios",1
"5.1.1.1","Automóvel para uso particular","Itaitinga","1311","domicílios",1
"5.1.1.1","Automóvel para uso particular","Itapajé","1269","domicílios",1
"5.1.1.1","Automóvel para uso particular","Itapipoca","2719","domicílios",1
"5.1.1.1","Automóvel para uso particular","Itapiúna","434","domicílios",1
"5.1.1.1","Automóvel para uso particular","Itarema","966","domicílios",1
"5.1.1.1","Automóvel para uso particular","Itatira","458","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jaguaretama","461","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jaguaribara","355","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jaguaribe","1126","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jaguaruana","842","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jardim","783","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jati","291","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jijoca de Jericoacoara","620","domicílios",1
"5.1.1.1","Automóvel para uso particular","Juazeiro do Norte","14617","domicílios",1
"5.1.1.1","Automóvel para uso particular","Jucás","561","domicílios",1
"5.1.1.1","Automóvel para uso particular","Lavras da Mangabeira","880","domicílios",1
"5.1.1.1","Automóvel para uso particular","Limoeiro do Norte","3002","domicílios",1
"5.1.1.1","Automóvel para uso particular","Madalena","376","domicílios",1
"5.1.1.1","Automóvel para uso particular","Maracanaú","10312","domicílios",1
"5.1.1.1","Automóvel para uso particular","Maranguape","3435","domicílios",1
